Date,Merchandise trade (% of GDP),"International tourism, number of arrivals","Population, total","Air transport, passengers carried","Exports of goods and services (BoP, current US$)","Foreign direct investment, net (BoP, current US$)",Transport services (% of commercial service exports),Food exports (% of merchandise exports),Commercial service imports (current US$),GINI index (World Bank estimate),CO2 emissions (kt),Electric power consumption (kWh per capita),"Labor force, total",Employment in services (% of total employment) (modeled ILO estimate),New businesses registered (number),Tax revenue (current LCU),"Services, value added (constant LCU)","Inflation, consumer prices (annual %)",Consumer price index (2010 = 100),Broad money growth (annual %),"Total reserves (includes gold, current US$)",Bank liquid reserves to bank assets ratio (%),GNI per capita (current LCU),GDP (constant LCU),GDP deflator (base year varies by country),"Inflation, GDP deflator (annual %)"
1988,50.21468067,,249740,844700,1957000000,15900000,52.70338555,74.67773649,512200000,,1848.168,16353.00713,,,,58591000000,,25.72550909,28.64363288,30.54223144,310844185.9,,1038008.582,,,
1989,49.85691229,,252852,735900,1918400000,35600000,52.10964794,74.69727205,471900000,,1903.173,16424.62785,,,,75851000000,,20.75819503,34.58953405,50.6418215,356971364.4,,1250000.47,,,
1990,51.33514406,,254826,759500,2148529490,-10473394.85,50.74837841,79.75299316,547462128.9,,1998.515,16148.27372,142030,,,88628600000,,15.51072199,39.95462052,14.10558794,454982426.1,,1447590.602,,,
1991,48.60073705,,257797,772600,2125399349,10195196.33,49.69808709,83.60207276,595746400.7,,1767.494,15931.13962,143965,63.86800003,,93175900000,,6.808778879,42.67504228,15.91033192,466776862.7,,1558496.707,,,
1992,46.0421877,,261057,767100,2118959197,19494063.87,45.93747249,82.97226528,580911584.5,,1818.832,16099.9322,147806,64.86499786,,94376600000,,3.947711768,44.35972995,3.898940949,514653054.1,,1544567.272,,,
1993,44.72961075,,263725,801000,1999533675,14333099.95,46.75079527,82.08148022,584848750,,1976.513,16737.13148,147898,65.69200134,,94615800000,,4.042852911,46.15312858,6.533163481,445582069.7,,1574533.979,,,
1994,49.17008135,,266021,1031200,2179208142,24342416.78,47.29628343,79.05203482,567394301.2,,2009.516,17066.32183,149444,65.0739975,,99458200000,,1.552656275,46.86972803,2.036039164,311693228.2,,1648074.51,,,
1995,50.72597886,190000,267468,1097000,2494575734,34198629.32,,75.52565399,623432690.4,,1947.177,17396.4736,155103,65.48699951,,1.04E+11,,1.651231501,47.64365574,2.520573164,327060134.5,,1695100.074,,,
1996,53.73098728,201000,268916,1239100,2658357126,-19734786.83,,76.25202423,714873541.1,,2211.201,17358.58037,153711,66.51200104,,1.16E+11,,2.260418983,48.72060198,6.189320357,471824526.5,,1819716.719,1.03E+12,47.42554252,
1997,51.25241818,202000,271128,1334400,2688497057,-91539178.59,,74.23553212,770902693,,2104.858,18957.83541,153679,66.23899841,,1.18E+11,6.85E+11,1.815430803,49.6050908,9.352412409,397889829.2,,1948971.104,1.08E+12,49.54129407,4.46120684
1998,52.20196838,232000,274047,1592700,2874584407,-78871018.7,,75.12484125,933877653.3,,2101.191,21321.16024,158874,64.72000122,,1.45E+11,7.49E+11,1.65924171,50.42815916,15.19087279,442513292.7,,2158182.663,1.16E+12,51.88016594,4.721055264
1999,50.68806789,263000,277381,1350200,2913691518,57676890.48,,69.60989679,989284666.1,,2068.188,24522.22755,164020,67.94100189,,1.68E+11,7.90E+11,3.231832609,52.05791285,17.25790022,494669786.7,,2296431.011,1.20E+12,53.69595342,3.499964662
2000,50.296061,303000,281205,1431818,2898804275,219394452.1,,65.24336526,1102657003,,2163.53,26201.52558,169237,69.18499756,,1.78E+11,8.25E+11,5.136471232,54.73185256,10.73925986,405074392.4,,2428976.162,1.26E+12,55.85187742,4.015058613
2001,52.70179576,301000,284968,1357946,3036381308,168643664.5,,63.6382607,1029915676,,2101.191,26950.39443,171637,69.37799835,,1.83E+11,8.42E+11,6.405085504,58.23747452,15.1603125,355376000.5,2.572732805,2720585.694,1.31E+12,60.69904131,8.67860512
2002,48.91947971,285000,287523,1198920,3317436938,250310280.4,,64.40733944,1079891721,,2170.864,27896.89868,171169,70.08399963,,1.93E+11,8.33E+11,5.197022302,61.26408906,14.74184571,461532364.3,2.796123807,2975480.823,1.31E+12,64.27442118,5.890339937
2003,46.02153359,317000,289521,1133775,3725721304,47943493.67,,64.14852706,1453985964,26.8,2167.197,27666.38689,172123,71.36100006,,2.08E+11,8.59E+11,2.055663298,62.52347245,22.36902306,818644914.2,1.098418374,3004102.962,1.34E+12,64.58615952,0.4850115
2004,47.23810406,360000,292074,1332811,4483401254,1826342574,,62.14359089,1764255260,28,2244.204,28215.45225,173090,70.3219986,,2.40E+11,8.96E+11,3.158193243,64.49808453,16.35419681,1074203643,1.724397363,3204909.186,1.45E+12,66.31169472,2.671679533
2005,48.34799017,374000,296734,1528929,5105803640,3975844142,,58.46822754,2414581273,29,2229.536,27988.02968,174963,71.77799988,,2.88E+11,9.34E+11,3.987047828,67.06965401,26.2064499,1068602214,1.197810892,3399837.153,1.55E+12,68.0248191,2.583442307
2006,56.24983426,422000,303782,1536157,5292202595,1673898966,,52.95825,2430171537,30.2,2299.209,31328.3868,181726,72.13899994,3191,3.28E+11,9.64E+11,6.687079061,71.5546548,60.11919121,2342225054,0.935030146,3693354.132,1.62E+12,73.7226302,8.376076811
2007,54.03830104,485000,311566,1720496,7128149725,3344454083,,43.1576178,2880034275,29.5,2310.21,36852.54489,187323,73.18399811,3675,3.57E+11,1.04E+12,5.051557365,75.16927924,5.854468096,2631913691,1.824691814,4164519.125,1.78E+12,76.89659325,4.305276472
2008,65.61976313,502000,317414,1423422,7422406092,-4982878838,,38.17953472,2424146134,31.8,2119.526,50063.95433,189957,73.39299774,2573,3.60E+11,1.06E+12,12.69439428,84.71156392,32.0906531,3570697160,3.833559109,3899396.839,1.81E+12,86.0200169,11.86453556
2009,59.18069452,494000,318499,1364651,6391790427,2208552245,,43.46182688,1972173300,28.7,2053.52,51259.18763,187684,75.66500092,2646,3.21E+11,1.01E+12,12.00312985,94.87960293,2.470974392,3882622957,2.979251941,4096963.792,1.69E+12,94.81149832,10.220274
2010,62.29219694,489000,318041,1851416.842,7136917525,-2748654936,,41.35694563,2184624226,26.2,1961.845,51439.90869,188675,75.97100067,1631,3.36E+11,1.02E+12,5.396731132,100,-10.02115662,5788562363,2.866262624,4274284.35,1.67E+12,100,5.472439284
2011,67.21532695,566000,319014,2150527,8304375837,-1082915394,,42.58886186,2594959248,26.8,1881.171,52373.87701,187904,75.95700073,1716,3.62E+11,1.03E+12,4.001026643,104.0010266,5.692728879,8548044336,3.579629191,4669786.491,1.70E+12,103.139416,3.139415958
2012,66.79973322,673000,320716,2400160,8104990974,-4229102710,,44.58116651,2739649171,26.8,1800.497,53202.83366,189265,76.22699738,1780,3.95E+11,1.03E+12,5.185899888,109.3944158,-4.568444774,4191506847,5.271089136,5025007.519,1.73E+12,106.6872853,3.439877253
2013,62.47837371,807300,323764,2602714,8590316601,54508979.1,39.23871267,46.9540168,2805986123,25.4,1899.506,54799.17471,193286,76.91899872,1969,4.30E+11,1.05E+12,3.872279237,113.630473,4.654039688,4237652279,6.175863588,5769059.664,1.80E+12,108.9734941,2.142906579
2014,58.71825306,997600,327386,3035882.779,9147518432,-745420864.8,38.15549923,43.83820042,3097162587,27.8,1983.847,53832.47909,198782,77.03399658,2076,5.11E+11,1.07E+12,2.044614815,115.9537785,5.786937813,4177067662,5.0640964,6026607.299,1.84E+12,112.9980253,3.693128507
2015,57.94354576,1289000,330815,4134980,9007705802,-695187948.3,35.87316853,44.99219094,2828253381,,,,203034,77.9240036,2383,5.24E+11,1.12E+12,1.633055582,117.8473682,5.572579344,5040573337,10.71897811,6597152.487,1.92E+12,119.352163,5.623228954
2016,49.01686249,1792000,335439,5710834,9868915586,-743724078.2,33.88378264,47.22106855,3221758950,,,,208175,78.64499664,2667,9.45E+11,1.22E+12,1.69692762,119.8471527,-4.635265189,7225621011,14.28705038,7140734.977,2.06E+12,121.6122539,1.893632182
2017,48.39865553,2225000,343400,7242611,11329969837,-163299306,33.90488934,42.60393267,3779020872,,,,210269,78.76000214,,6.32E+11,,1.760415592,121.9569607,5.034190431,6566175920,12.89439449,7456350.767,2.14E+12,122.218565,0.498560863
2018,,,,,,,,,,,,,210651,78.96900177,,,,,,,,,,,,
