Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iceland,ISL,Urban population growth (annual %),SP.URB.GROW,2.63976032,2.573247949,2.462837288,2.373344053,2.356924895,2.295106607,2.241766866,2.148697742,1.887630065,1.434470647,1.016859767,1.242479612,1.886071995,1.920748352,1.755455059,1.670664141,1.376257733,1.116239467,1.144248313,1.332467453,1.405374468,1.449061345,1.638051783,1.618285046,1.352068316,1.067997272,1.007276584,1.363281297,1.829042314,1.493011765,1.027072119,1.359338051,1.454266176,1.208954948,1.056099063,0.728118798,0.722045346,0.996408787,1.245970553,1.367486189,1.514278587,1.471213093,1.032998441,0.829430493,1.012559992,1.714901831,2.478519638,2.657999695,1.98483023,0.465437225,-0.076582542,0.31937762,0.545808759,0.9812125,1.148908265,1.077160783,1.425397053,2.385884023,
Iceland,ISL,Rural population (% of total population),SP.RUR.TOTL.ZS,19.7,19.197,18.703,18.219,17.744,17.28,16.825,16.379,15.943,15.517,15.1,14.731,14.37,14.017,13.67,13.331,12.998,12.674,12.356,12.045,11.74,11.467,11.2,10.938,10.681,10.43,10.184,9.943,9.706,9.476,9.25,9.068,8.888,8.713,8.54,8.37,8.203,8.04,7.879,7.733,7.599,7.468,7.338,7.211,7.086,6.963,6.841,6.722,6.605,6.489,6.426,6.413,6.4,6.367,6.333,6.3,6.265,6.227,
Iceland,ISL,Rural population growth (annual %),SP.RUR.TOTL.ZG,-1.574790522,-0.638090221,-0.753530246,-0.841998674,-0.86405811,-0.916723017,-0.973817652,-1.07550916,-1.329724584,-1.777685004,-2.201059591,-1.665888599,-1.016346292,-0.979727964,-1.152448585,-1.231247813,-1.536224403,-1.780504314,-1.762081083,-1.569088934,-1.508190076,-1.209540702,-1.021793024,-1.040056964,-1.316447181,-1.587866541,-1.657894773,-1.296476269,-0.846244215,-1.161838795,-1.636863039,-0.826450985,-0.747105235,-0.974434423,-1.137967462,-1.467712856,-1.475975136,-1.18565847,-0.954122147,-0.659823034,-0.378337171,-0.412661781,-0.863640659,-1.053017473,-0.870762965,-0.164418046,0.5790963,0.771723423,0.104991897,-1.431615534,-1.119124175,0.102702051,0.331837119,0.427808139,0.575617716,0.51955666,0.831426808,1.740651038,
Iceland,ISL,Rural population,SP.RUR.TOTL,34588,34368,34110,33824,33533,33227,32905,32553,32123,31557,30870,30360,30053,29760,29419,29059,28616,28111,27620,27190,26783,26461,26192,25921,25582,25179,24765,24446,24240,23960,23571,23377,23203,22978,22718,22387,22059,21799,21592,21450,21369,21281,21098,20877,20696,20662,20782,20943,20965,20667,20437,20458,20526,20614,20733,20841,21015,21384,
Iceland,ISL,Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,,,,,99,,,,,98.9,,,,,,100,,,,,,,,,,
Iceland,ISL,Completeness of birth registration (%),SP.REG.BRTH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,100,,,,
Iceland,ISL,"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.52681338,50.53660224,50.54211295,50.54585505,50.54582904,50.54519928,50.55002539,50.55039133,50.55667129,50.55874358,50.55937933,50.55602501,50.55447582,50.54862948,50.53672159,50.52480982,50.50482122,50.48522723,50.45952192,50.43475569,50.40962779,50.38042182,50.35559195,50.33026722,50.30734702,50.28706015,50.26664211,50.25034709,50.23563092,50.22382975,50.20976773,50.20029812,50.19238531,50.18237198,50.17160745,50.15450608,50.12919036,50.10285689,50.07373935,50.05146328,50.04261176,50.04064897,50.05064329,50.06823983,50.10030848,50.14170644,50.19717614,50.26098068,50.32215106,50.36446239,50.37803348,50.35959211,50.3151822,50.25639928,50.20368025,50.17154347,50.16452513,50.17461436,
Iceland,ISL,"Population, male",SP.POP.TOTL.MA.IN,88712,90475,92178,93840,95523,97191,98861,100469,101866,102821,103363,104195,105728,107323,108760,110133,111188,111976,112796,113849,115004,116255,117762,119271,120492,121395,122238,123545,125458,126992,127948,129415,131031,132343,133467,134147,134805,135843,137226,138833,140722,142600,143907,144958,146330,148787,152490,156596,159730,160410,160223,160654,161369,162712,164360,165975,168271,172300,
Iceland,ISL,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.47318662,49.46339776,49.45788705,49.45414495,49.45417096,49.45480072,49.44997461,49.44960867,49.44332871,49.44125642,49.44062067,49.44397499,49.44552418,49.45137052,49.46327841,49.47519018,49.49517878,49.51477277,49.54047808,49.56524431,49.59037221,49.61957818,49.64440805,49.66973278,49.69265298,49.71293985,49.73335789,49.74965291,49.76436908,49.77617025,49.79023227,49.79970188,49.80761469,49.81762802,49.82839255,49.84549392,49.87080964,49.89714311,49.92626065,49.94853672,49.95738824,49.95935103,49.94935671,49.93176017,49.89969152,49.85829356,49.80282386,49.73901932,49.67784894,49.63553761,49.62196652,49.64040789,49.6848178,49.74360072,49.79631975,49.82845653,49.83547487,49.82538564,
Iceland,ISL,"Population, female",SP.POP.TOTL.FE.IN,86862,88554,90200,91813,93460,95095,96709,98282,99622,100548,101075,101903,103409,104994,106449,107846,108966,109823,110741,111886,113134,114500,116098,117706,119019,120010,120942,122314,124282,125860,126878,128382,130026,131382,132554,133321,134111,135285,136821,138548,140483,142368,143616,144563,145744,147947,151292,154970,157684,158089,157818,158360,159347,161052,163026,164840,167168,171100,
Iceland,ISL,"Population, total",SP.POP.TOTL,175574,179029,182378,185653,188983,192286,195570,198751,201488,203369,204438,206098,209137,212317,215209,217979,220154,221799,223537,225735,228138,230755,233860,236977,239511,241405,243180,245859,249740,252852,254826,257797,261057,263725,266021,267468,268916,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,
Iceland,ISL,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1792.02007,1890.24904,1659.76896,,,,2062.84381,,2266.94104,2175.93952,1694.29882,1738.17244,1979.20819,,1868.4798,,1640.25209,,2100.90751,2096.40453,,
Iceland,ISL,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4916.96277,5137.35398,5677.1152,,6572.47788,,6657.35956,,7305.2658,8006.45919,7235.58322,7422.94232,7925.37474,,6982.60456,,5651.08905,,5887.90678,6635.1053,,
Iceland,ISL,Population growth (annual %),SP.POP.GROW,1.795326707,1.948719743,1.853365244,1.77978836,1.777772399,1.732678311,1.693452457,1.613441336,1.36770413,0.929223669,0.524268808,0.808703279,1.463775579,1.509090126,1.352920811,1.27890789,0.992857359,0.744426487,0.780538211,0.978479646,1.058896411,1.140583261,1.336610409,1.32404443,1.06362548,0.787667614,0.732588891,1.095629101,1.566217581,1.238396064,0.777662199,1.15914942,1.256632077,1.016811928,0.866835947,0.542467998,0.539913017,0.819197091,1.070859043,1.209238786,1.369192833,1.329295255,0.892596377,0.69249762,0.877936158,1.582891978,2.34742243,2.530085489,1.859572171,0.341241979,-0.143903,0.305468368,0.532100735,0.9458859,1.112504755,1.041940387,1.388081496,2.345582676,
